,order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sales_price,profit,order_Date
31,32,19-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,6,3.6,86.4,16.4,19-01-2023
32,33,30-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,6,0.5,9.5,-0.5,30-01-2023
33,34,03-06-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,2,0.8,19.2,-0.8,03-06-2022
34,35,28-09-2022,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,3,0.9,29.1,-0.9,28-09-2022
35,36,30-10-2022,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,7,55,1045,25,30-10-2022
36,37,27-07-2023,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,5,7.6,182.4,2.4,27-07-2023
37,38,07-03-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,9,2.2,107.8,17.8,07-03-2023
38,39,18-08-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,3,10.6,519.4,59.4,18-08-2023
39,40,20-01-2022,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,3,4.2,205.8,5.8,20-01-2022
40,41,29-06-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,4,18.5,351.5,1.5,29-06-2023
41,42,28-06-2022,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,4,4.5,145.5,5.5,28-06-2022
42,43,09-02-2023,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,2,4,76,6,09-02-2023
43,44,18-09-2023,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,2,4,96,6,18-09-2023
44,45,11-11-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,2,1,49,9,11-11-2022
45,46,27-05-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,2,1,19,-1,27-05-2022
46,47,03-02-2023,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,4,8.4,201.6,21.6,03-02-2023
47,48,16-02-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,3,2.5,47.5,-2.5,16-02-2022
48,49,06-05-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,2,0.8,19.2,-0.8,06-05-2022
49,50,18-06-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,6,1.6,38.4,8.4,18-06-2023
50,51,11-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,6,3.2,76.8,6.8,11-01-2022
51,52,09-09-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,2,0.4,9.6,-0.4,09-09-2023
52,53,31-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,1,4.5,85.5,15.5,31-01-2022
53,54,30-07-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,7,0.6,19.4,-0.6,30-07-2023
54,55,17-10-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,5,41.2,988.8,138.8,17-10-2023
55,56,06-07-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,6,10.5,199.5,-0.5,06-07-2023
56,57,15-09-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,5,1.5,28.5,-1.5,15-09-2023
57,58,09-08-2022,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,5,6.4,313.6,23.6,09-08-2022
58,59,05-04-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,2,0.4,9.6,-0.4,05-04-2022
59,60,24-06-2023,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,2,1.5,28.5,8.5,24-06-2023
60,61,10-03-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,4,1,49,9,10-03-2022
61,62,08-04-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,1,0,0,0,08-04-2023
62,63,16-10-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,2,0.3,9.7,-0.3,16-10-2023
63,64,02-08-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,6,0.6,29.4,9.4,02-08-2023
64,65,05-11-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,3,7.5,142.5,12.5,05-11-2022
65,66,06-05-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,4,1.6,78.4,8.4,06-05-2022
66,67,26-03-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,5,10.5,199.5,19.5,26-03-2022
67,68,10-04-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,8,33.3,1076.7,136.7,10-04-2022
68,69,12-08-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,4,5.1,164.9,4.9,12-08-2022
69,70,25-02-2022,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,2,1.6,78.4,8.4,25-02-2022
70,71,29-11-2022,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,1,0,0,0,29-11-2022
71,72,18-12-2022,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,3,0.6,19.4,-0.6,18-12-2022
72,73,07-03-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,8,16.6,813.4,23.4,07-03-2023
73,74,12-07-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,2,3,97,7,12-07-2023
74,75,21-10-2022,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,1,1.4,68.6,8.6,21-10-2022
75,76,17-04-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,3,0,0,0,17-04-2023
76,77,20-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,3,0.4,9.6,-0.4,20-05-2023
77,78,13-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,3,0.6,29.4,9.4,13-05-2023
78,79,20-10-2022,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,5,0.4,19.6,-0.4,20-10-2022
79,80,22-10-2023,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,1,6.3,203.7,13.7,22-10-2023
80,81,20-07-2022,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,3,0.4,19.6,-0.4,20-07-2022
81,82,16-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,5,0.5,9.5,-0.5,16-11-2022
82,83,10-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,1,0.8,19.2,-0.8,10-11-2022
83,84,15-03-2022,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,7,6,194,14,15-03-2022
84,85,03-10-2023,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,3,4.6,225.4,15.4,03-10-2023
85,86,20-03-2022,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,2,15,285,25,20-03-2022
86,87,04-12-2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,1,19,-1,04-12-2023
87,88,24-11-2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,2,0.5,9.5,-0.5,24-11-2023
88,89,30-12-2023,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,7,8,152,12,30-12-2023
89,90,23-05-2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,3,0.4,19.6,-0.4,23-05-2022
90,91,06-04-2023,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,2,1.4,68.6,8.6,06-04-2023
91,92,23-03-2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,1,0.2,9.8,-0.2,23-03-2022
92,93,07-04-2023,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,2,0.2,9.8,-0.2,07-04-2023
93,94,13-05-2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,2.5,47.5,-2.5,13-05-2022
94,95,23-04-2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,2,0.9,29.1,9.1,23-04-2022
95,96,17-12-2023,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,1,0.2,9.8,-0.2,17-12-2023
96,97,28-04-2022,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,7,5,95,15,28-04-2022
97,98,14-06-2023,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,3,2,48,8,14-06-2023
98,99,05-02-2023,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,6,2.4,77.6,7.6,05-02-2023
99,100,30-12-2023,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,7,1.8,58.2,-1.8,30-12-2023
100,101,24-02-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,5,95,15,24-02-2022
101,102,25-07-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,3,0,0,0,25-07-2022
102,103,14-01-2022,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,4,0.8,19.2,-0.8,14-01-2022
103,104,22-12-2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,7.2,232.8,12.8,22-12-2022
104,105,09-06-2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,5,95,5,09-06-2022
105,106,28-10-2023,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,3,2,38,8,28-10-2023
106,107,18-10-2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,8,3.5,66.5,6.5,18-10-2022
107,108,23-11-2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,1,0.9,29.1,-0.9,23-11-2022
108,109,12-10-2023,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,1,0,0,0,12-10-2023
109,110,17-03-2023,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,6.8,333.2,43.2,17-03-2023
110,111,05-09-2023,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,2,0.8,39.2,9.2,05-09-2023
111,112,28-01-2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,2,2.4,77.6,7.6,28-01-2022
112,113,26-12-2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,6,0.9,29.1,-0.9,26-12-2022
113,114,06-06-2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,14,0.8,39.2,-0.8,06-06-2023
114,115,08-11-2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,2,0,0,0,08-11-2023
115,116,15-11-2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,3,0.8,19.2,-0.8,15-11-2022
116,117,30-06-2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,6,6.5,123.5,3.5,30-06-2022
117,118,27-10-2023,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,31.6,758.4,38.4,27-10-2023
118,119,19-07-2023,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,1,8,152,12,19-07-2023
119,120,30-03-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,1.5,48.5,-1.5,30-03-2023
120,121,03-03-2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,4,0.6,29.4,9.4,03-03-2022
121,122,20-10-2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,6,4.6,225.4,35.4,20-10-2022
122,123,23-01-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,9,4.8,115.2,5.2,23-01-2023
123,124,21-01-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,1.4,68.6,8.6,21-01-2023
124,125,18-07-2023,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,18,582,32,18-07-2023
125,126,15-07-2023,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,24.8,595.2,55.2,15-07-2023
126,127,14-07-2022,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,2,0,0,0,14-07-2022
127,128,30-03-2023,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,7,9.6,230.4,30.4,30-03-2023
128,129,18-09-2023,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,1.6,78.4,8.4,18-09-2023
129,130,03-01-2022,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,9.6,230.4,10.4,03-01-2022
130,131,17-07-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,1.8,58.2,8.2,17-07-2022
131,132,30-03-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,2,3.2,76.8,-3.2,30-03-2022
132,133,01-05-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,9,1,19,-1,01-05-2022
133,134,29-04-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,3,0.8,19.2,-0.8,29-04-2023
134,135,28-10-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,1,2,38,8,28-10-2022
135,136,05-03-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,4,0.5,9.5,-0.5,05-03-2022
136,137,28-03-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,2,0,0,0,28-03-2022
137,138,16-10-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,3,1.6,78.4,8.4,16-10-2023
138,139,15-05-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,6,3.5,66.5,6.5,15-05-2022
139,140,06-06-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,0.8,39.2,-0.8,06-06-2023
140,141,10-06-2022,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,2,1.6,78.4,18.4,10-06-2022
141,142,22-07-2022,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,3,0.3,9.7,-0.3,22-07-2022
142,143,27-12-2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,3,0.2,9.8,-0.2,27-12-2023
143,144,29-11-2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,3,7,133,3,29-11-2023
144,145,19-03-2022,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,3,16.8,823.2,43.2,19-03-2022
145,146,04-06-2023,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,7,20.1,649.9,49.9,04-06-2023
146,147,31-05-2023,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,4,3.6,86.4,6.4,31-05-2023
147,148,12-06-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,11,15.2,364.8,14.8,12-06-2022
148,149,18-05-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,3,7.5,142.5,2.5,18-05-2022
149,150,23-01-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,8,58.5,1891.5,311.5,23-01-2022
150,151,21-08-2023,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,5,6.8,163.2,13.2,21-08-2023
151,152,31-08-2023,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,5,8,152,12,31-08-2023
152,153,25-10-2022,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,2,4,196,36,25-10-2022
153,154,07-10-2022,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,7,2.4,57.6,7.6,07-10-2022
154,155,25-03-2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,4,4.4,105.6,5.6,25-03-2023
155,156,27-03-2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,6,3.2,76.8,16.8,27-03-2023
156,157,03-05-2022,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,3,0.3,9.7,-0.3,03-05-2022
157,158,18-05-2022,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,2,9.2,450.8,70.8,18-05-2022
158,159,25-04-2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,2,0.3,9.7,-0.3,25-04-2022
159,160,30-06-2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,7,47,893,23,30-06-2022
160,161,10-01-2022,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,1,0.4,9.6,-0.4,10-01-2022
161,162,27-11-2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,2,2.5,47.5,7.5,27-11-2023
162,163,16-02-2022,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,5,1.2,28.8,-1.2,16-02-2022
163,164,14-08-2022,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,2,0.9,29.1,9.1,14-08-2022
164,165,14-10-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,3,0.5,9.5,-0.5,14-10-2023
165,166,16-10-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,8,326.4,7833.6,983.6,16-10-2022
166,167,20-11-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,3,11.2,268.8,18.8,20-11-2022
167,168,04-11-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,9,69.6,1670.4,50.4,04-11-2023
168,169,16-06-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,6,1.2,28.8,-1.2,16-06-2023
169,170,20-10-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,5,3.6,176.4,26.4,20-10-2022
170,171,12-07-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,3,7,133,13,12-07-2022
